Technology Area,Number of Awards,Total Funding,Avg Funding per Award
"Robotics and Advanced Manufacturing, Advanced Energy and Industrial Efficiency Technologies, Advanced Computing and Semiconductors, Advanced Materials, Disaster Prevention and Mitigation, Data and Cybersecurity",1,1000000.0,1000000.0
"Robotics and Advanced Manufacturing, Advanced Communications, Advanced Computing and Semiconductors, Advanced Materials, Quantum Information Science and Technology, Advanced Energy and Industrial Efficiency Technologies",1,1000000.0,1000000.0
"Biotechnology, Advanced Materials, Quantum Information Science and Technology",1,1000000.0,1000000.0
"Advanced Energy and Industrial Efficiency Technologies, Data and Cybersecurity, Biotechnology, Disaster Prevention and Mitigation",1,1000000.0,1000000.0
"Artificial Intelligence, Advanced Computing and Semiconductors, Robotics and Advanced Manufacturing, Quantum Information Science and Technology",1,1000000.0,1000000.0
"Biotechnology, Advanced Materials, Advanced Energy and Industrial Efficiency Technologies, Robotics and Advanced Manufacturing",1,1000000.0,1000000.0
"Artificial Intelligence, Advanced Materials, Biotechnology",1,1000000.0,1000000.0
"Advanced Computing and Semiconductors, Advanced Communications, Artificial Intelligence",1,1000000.0,1000000.0
"Disaster Prevention and Mitigation, Advanced Energy and Industrial Efficiency Technologies, Data and Cybersecurity, Biotechnology",1,1000000.0,1000000.0
"Robotics and Advanced Manufacturing, Advanced Computing and Semiconductors, Advanced Energy and Industrial Efficiency Technologies",1,1000000.0,1000000.0
"Robotics and Advanced Manufacturing, Biotechnology, Advanced Materials, Advanced Energy and Industrial Efficiency Technologies",1,1000000.0,1000000.0
"Robotics and Advanced Manufacturing, Biotechnology, Advanced Materials, Data and Cybersecurity",1,1000000.0,1000000.0
"Robotics and Advanced Manufacturing, Advanced Materials, Disaster Prevention and Mitigation, Advanced Energy and Industrial Efficiency Technologies",1,999999.0,999999.0
"Advanced Computing and Semiconductors, Advanced Communications, Quantum Information Science and Technology",1,999999.0,999999.0
"Biotechnology, Advanced Materials, Disaster Prevention and Mitigation",1,999999.0,999999.0
"Robotics and Advanced Manufacturing, Advanced Computing and Semiconductors, Biotechnology",1,999997.0,999997.0
